ref|NC_001133|	95000	105000	5	A.2565
ref|NC_001134|	0	20000	6	A.2565
ref|NC_001138|	40000	50000	3	A.2565
ref|NC_001138|	90000	105000	3	A.2565
ref|NC_001139|	10000	20000	2	A.2565
ref|NC_001139|	20000	110000	3	A.2565
ref|NC_001139|	215000	230000	5	A.2565
ref|NC_001140|	95000	110000	3	A.2565
ref|NC_001140|	285000	305000	3	A.2565
ref|NC_001141|	5000	20000	6	A.2565
ref|NC_001142|	5000	25000	5	A.2565
ref|NC_001143|	380000	390000	3	A.2565
ref|NC_001143|	485000	500000	5	A.2565
ref|NC_001147|	1075000	1085000	3	A.2565
ref|NC_001133|	205000	220000	2	A.Muntons
ref|NC_001133|	165000	195000	3	A.Muntons
ref|NC_001133|	0	10000	6	A.Muntons
ref|NC_001134|	0	30000	5	A.Muntons
ref|NC_001134|	35000	220000	5	A.Muntons
ref|NC_001134|	230000	260000	5	A.Muntons
ref|NC_001134|	265000	800000	5	A.Muntons
ref|NC_001135|	5000	15000	3	A.Muntons
ref|NC_001137|	560000	570000	2	A.Muntons
ref|NC_001139|	10000	25000	2	A.Muntons
ref|NC_001139|	25000	75000	3	A.Muntons
ref|NC_001140|	5000	15000	3	A.Muntons
ref|NC_001141|	40000	205000	5	A.Muntons
ref|NC_001141|	210000	435000	5	A.Muntons
ref|NC_001142|	10000	35000	3	A.Muntons
ref|NC_001143|	530000	645000	5	A.Muntons
ref|NC_001147|	1060000	1070000	2	A.Muntons
ref|NC_001147|	665000	705000	3	A.Muntons
ref|NC_001148|	10000	25000	5	A.Muntons
ref|NC_001133|	0	10000	6	A.S-33
ref|NC_001134|	10000	30000	5	A.S-33
ref|NC_001134|	35000	220000	5	A.S-33
ref|NC_001134|	230000	260000	5	A.S-33
ref|NC_001134|	265000	695000	5	A.S-33
ref|NC_001134|	705000	800000	5	A.S-33
ref|NC_001135|	5000	15000	2	A.S-33
ref|NC_001137|	560000	570000	2	A.S-33
ref|NC_001139|	10000	70000	3	A.S-33
ref|NC_001140|	5000	15000	3	A.S-33
ref|NC_001140|	545000	560000	5	A.S-33
ref|NC_001141|	40000	205000	5	A.S-33
ref|NC_001141|	210000	325000	5	A.S-33
ref|NC_001141|	325000	435000	5	A.S-33
ref|NC_001143|	520000	645000	5	A.S-33
ref|NC_001147|	1060000	1075000	2	A.S-33
ref|NC_001147|	665000	705000	3	A.S-33
ref|NC_001147|	1075000	1090000	3	A.S-33
ref|NC_001148|	10000	25000	5	A.S-33
ref|NC_001133|	0	10000	5	A.T-58
ref|NC_001135|	290000	300000	2	A.T-58
ref|NC_001135|	15000	30000	5	A.T-58
ref|NC_001135|	200000	270000	5	A.T-58
ref|NC_001135|	275000	290000	5	A.T-58
ref|NC_001136|	1155000	1175000	3	A.T-58
ref|NC_001139|	320000	400000	3	A.T-58
ref|NC_001140|	540000	560000	5	A.T-58
ref|NC_001141|	10000	25000	3	A.T-58
ref|NC_001142|	10000	25000	3	A.T-58
ref|NC_001147|	1060000	1075000	2	A.T-58
ref|NC_001147|	1080000	1090000	5	A.T-58
ref|NC_001134|	0	30000	5	A.Windson
ref|NC_001134|	35000	135000	5	A.Windson
ref|NC_001134|	165000	220000	5	A.Windson
ref|NC_001134|	230000	260000	5	A.Windson
ref|NC_001134|	265000	335000	5	A.Windson
ref|NC_001134|	340000	390000	5	A.Windson
ref|NC_001134|	400000	445000	5	A.Windson
ref|NC_001134|	495000	800000	5	A.Windson
ref|NC_001134|	150000	160000	6	A.Windson
ref|NC_001135|	5000	15000	2	A.Windson
ref|NC_001136|	1160000	1175000	3	A.Windson
ref|NC_001136|	335000	355000	5	A.Windson
ref|NC_001138|	120000	140000	5	A.Windson
ref|NC_001139|	10000	75000	3	A.Windson
ref|NC_001139|	215000	265000	5	A.Windson
ref|NC_001140|	85000	95000	2	A.Windson
ref|NC_001141|	5000	20000	3	A.Windson
ref|NC_001141|	40000	205000	5	A.Windson
ref|NC_001141|	210000	435000	5	A.Windson
ref|NC_001142|	20000	40000	3	A.Windson
ref|NC_001143|	535000	575000	5	A.Windson
ref|NC_001143|	585000	645000	5	A.Windson
ref|NC_001144|	1050000	1060000	5	A.Windson
ref|NC_001147|	1060000	1075000	2	A.Windson
ref|NC_001147|	665000	705000	3	A.Windson
ref|NC_001147|	1075000	1085000	3	A.Windson
ref|NC_001147|	710000	725000	5	A.Windson
ref|NC_001148|	845000	855000	2	A.Windson
ref|NC_001133|	30000	160000	5	BE005
ref|NC_001133|	165000	180000	5	BE005
ref|NC_001133|	185000	195000	5	BE005
ref|NC_001134|	10000	30000	5	BE005
ref|NC_001134|	35000	220000	5	BE005
ref|NC_001134|	230000	260000	5	BE005
ref|NC_001134|	265000	800000	5	BE005
ref|NC_001135|	15000	155000	5	BE005
ref|NC_001135|	160000	290000	5	BE005
ref|NC_001137|	5000	185000	5	BE005
ref|NC_001137|	500000	565000	5	BE005
ref|NC_001138|	30000	140000	5	BE005
ref|NC_001138|	145000	270000	5	BE005
ref|NC_001139|	10000	70000	3	BE005
ref|NC_001140|	0	85000	5	BE005
ref|NC_001141|	25000	35000	6	BE005
ref|NC_001141|	40000	205000	6	BE005
ref|NC_001141|	210000	325000	6	BE005
ref|NC_001141|	325000	435000	6	BE005
ref|NC_001143|	0	15000	5	BE005
ref|NC_001143|	520000	645000	5	BE005
ref|NC_001147|	1060000	1070000	2	BE005
ref|NC_001147|	665000	705000	3	BE005
ref|NC_001147|	1075000	1090000	3	BE005
ref|NC_001148|	5000	25000	5	BE005
ref|NC_001148|	925000	945000	5	BE005
ref|NC_001135|	5000	15000	3	CFI
ref|NC_001139|	10000	70000	3	CFI
ref|NC_001139|	1070000	1090000	3	CFI
ref|NC_001141|	10000	20000	3	CFI
ref|NC_001141|	25000	35000	5	CFI
ref|NC_001141|	40000	205000	5	CFI
ref|NC_001141|	210000	390000	5	CFI
ref|NC_001141|	395000	435000	5	CFI
ref|NC_001142|	10000	20000	3	CFI
ref|NC_001143|	520000	645000	5	CFI
ref|NC_001144|	1060000	1075000	3	CFI
ref|NC_001147|	1060000	1070000	2	CFI
ref|NC_001147|	665000	705000	3	CFI
ref|NC_001147|	1075000	1090000	3	CFI
ref|NC_001148|	5000	25000	5	CFI
ref|NC_001134|	10000	30000	5	CFN
ref|NC_001134|	35000	220000	5	CFN
ref|NC_001134|	230000	260000	5	CFN
ref|NC_001134|	265000	800000	5	CFN
ref|NC_001135|	5000	15000	3	CFN
ref|NC_001135|	15000	45000	5	CFN
ref|NC_001138|	0	10000	3	CFN
ref|NC_001139|	10000	70000	3	CFN
ref|NC_001139|	1070000	1090000	3	CFN
ref|NC_001141|	10000	20000	3	CFN
ref|NC_001141|	25000	35000	5	CFN
ref|NC_001141|	40000	205000	5	CFN
ref|NC_001141|	210000	390000	5	CFN
ref|NC_001141|	395000	430000	6	CFN
ref|NC_001143|	520000	645000	5	CFN
ref|NC_001147|	1060000	1070000	2	CFN
ref|NC_001147|	665000	705000	3	CFN
ref|NC_001147|	1075000	1090000	3	CFN
ref|NC_001148|	10000	25000	5	CFN
ref|NC_001148|	935000	945000	5	CFN
ref|NC_001133|	35000	75000	3	Jean-Talon
ref|NC_001135|	5000	15000	3	Jean-Talon
ref|NC_001135|	235000	265000	3	Jean-Talon
ref|NC_001139|	10000	70000	3	Jean-Talon
ref|NC_001141|	10000	20000	3	Jean-Talon
ref|NC_001141|	40000	205000	5	Jean-Talon
ref|NC_001141|	210000	435000	5	Jean-Talon
ref|NC_001142|	10000	20000	3	Jean-Talon
ref|NC_001143|	0	15000	5	Jean-Talon
ref|NC_001143|	520000	645000	5	Jean-Talon
ref|NC_001146|	15000	95000	3	Jean-Talon
ref|NC_001147|	665000	705000	3	Jean-Talon
ref|NC_001147|	705000	1055000	5	Jean-Talon
ref|NC_001148|	5000	25000	5	Jean-Talon
